"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Taxa";"Units";"Value";"Scale";"Family";"Source";"Original_model_metric"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-14,09112566;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-19,3029684;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"Reptiles";"%";-14,872417;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-5,054438735;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-3,015971981;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-1,648109949;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-11,52052708;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-10,30487724;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Reptiles";"%";-13,0310448;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";0,652348760030434;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";0,354412698117083;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";0,542347208354951;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";-0,749094580365384;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";-1,21802778876586;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, full dispersal)";"All";"%";-2,93174959459101;"Alpha";"SSalpha";"Raster";"Diversity-change_FullD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-1,09183544358291;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-1,89357451468412;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-1,3864566593108;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-6,15630114817346;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-7,87952971326233;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Species richness (diversity-weighted, no dispersal)";"All";"%";-11,0502503824528;"Alpha";"SSalpha";"Raster";"Diversity-change_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Species richness (full dispersal)";"All";"%";-0,506046981973079;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";0,509281809311927;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";0,316370697236145;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";0,469622433019809;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";-0,132538031609592;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";-0,164538998257466;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Species richness (full dispersal)";"All";"%";-0,870898719300839;"Alpha";"Salpha";"Raster";"Diversity-change_FullD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Species richness (no dispersal)";"All";"%";-3,6004704368539;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-0,825943013743445;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-1,34072981181569;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-0,910941626946432;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-5,18342937946037;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-6,42596578600118;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Species richness (no dispersal)";"All";"%";-8,87976911286035;"Alpha";"Salpha";"Raster";"Diversity-change_NoD"
"Historical";"LU";"AIM";"Global";"2015";"Species richness";"All";"ABS";9002;"GammaGlobal";"Sgamma";"CSV";"Diversity_Current"
